smiles,Li+ observed,Li+ dG_mean [kcal/mol],Li+ dG_std [kcal/mol],Na+ observed,Na+ dG_mean [kcal/mol],Na+ dG_std [kcal/mol],Mg2+ observed,Mg2+ dG_mean [kcal/mol],Mg2+ dG_std [kcal/mol],Al3+ observed,Al3+ dG_mean [kcal/mol],Al3+ dG_std [kcal/mol],K+ observed,K+ dG_mean [kcal/mol],K+ dG_std [kcal/mol],Ca2+ observed,Ca2+ dG_mean [kcal/mol],Ca2+ dG_std [kcal/mol],Mn2+ observed,Mn2+ dG_mean [kcal/mol],Mn2+ dG_std [kcal/mol],Fe3+ observed,Fe3+ dG_mean [kcal/mol],Fe3+ dG_std [kcal/mol],Co2+ observed,Co2+ dG_mean [kcal/mol],Co2+ dG_std [kcal/mol],Ni2+ observed,Ni2+ dG_mean [kcal/mol],Ni2+ dG_std [kcal/mol],Cu2+ observed,Cu2+ dG_mean [kcal/mol],Cu2+ dG_std [kcal/mol],Zn2+ observed,Zn2+ dG_mean [kcal/mol],Zn2+ dG_std [kcal/mol],Rb+ observed,Rb+ dG_mean [kcal/mol],Rb+ dG_std [kcal/mol],Sr2+ observed,Sr2+ dG_mean [kcal/mol],Sr2+ dG_std [kcal/mol],Cs+ observed,Cs+ dG_mean [kcal/mol],Cs+ dG_std [kcal/mol],La3+ observed,La3+ dG_mean [kcal/mol],La3+ dG_std [kcal/mol],Pr3+ observed,Pr3+ dG_mean [kcal/mol],Pr3+ dG_std [kcal/mol],Nd3+ observed,Nd3+ dG_mean [kcal/mol],Nd3+ dG_std [kcal/mol],Sm3+ observed,Sm3+ dG_mean [kcal/mol],Sm3+ dG_std [kcal/mol],Gd3+ observed,Gd3+ dG_mean [kcal/mol],Gd3+ dG_std [kcal/mol],Tb3+ observed,Tb3+ dG_mean [kcal/mol],Tb3+ dG_std [kcal/mol],Dy3+ observed,Dy3+ dG_mean [kcal/mol],Dy3+ dG_std [kcal/mol],Er3+ observed,Er3+ dG_mean [kcal/mol],Er3+ dG_std [kcal/mol]
NCC(=O)O,False,0.6353992819786072,0.2282168405285003,False,1.0147206783294678,0.3496533056560616,True,-0.26245419072238896,0.11277795707111328,True,-1.0525277188642728,0.0773,False,1.1360186338424683,0.3221995266449673,True,-0.0575185277074153,0.07904967253138086,True,-0.6420010998025045,0.05503406967701992,False,-1.2922900915145874,0.252882889892177,True,-0.9333917613508532,0.03811066294467777,True,-1.049011099873126,0.03146229695343498,True,-1.260654865590991,0.02865388006707984,True,-0.9703638083245475,0.0361174569216251,False,1.1035104990005493,0.3867352593186444,True,0.1792486497829145,0.17448105204885722,False,0.8023435473442078,0.2260110057989192,True,-0.6702698210681093,0.0773,True,-0.707308384158437,0.0773,True,-0.700083611081341,0.0773,True,-0.7421669114860483,0.0773,True,-0.7249939974920718,0.0773,True,-0.7588560165107102,0.0773,True,-0.7588560165107102,0.0773,True,-0.7750878277650786,0.0773
C[C@H](N)C(=O)O,False,0.5652671456336975,0.2282168405285003,False,0.8375416398048401,0.3496533056560616,True,-0.3986684902633945,0.0773,False,-1.0664010047912598,0.1975800852393646,False,0.9868990182876587,0.3221995266449673,True,-0.1554309001311021,0.0773,True,-0.5390215552224942,0.011536388527435939,False,-1.2782782316207886,0.252882889892177,True,-0.8951082300217199,0.02691211804637072,True,-1.0098701275455981,0.022807198241724638,True,-1.2576428273021507,0.018545799600632688,True,-0.9155743107803953,0.022923104991753117,False,1.035796046257019,0.3867352593186444,True,0.1783818985426766,0.0773,False,0.8029826879501343,0.2260110057989192,False,-0.8874212503433228,0.1175286052793638,False,-0.9142523407936096,0.0867758470077774,False,-0.9243004322052002,0.079207931625476,False,-0.9407780170440674,0.1242340543788246,False,-0.9575185179710388,0.1046590080445719,False,-0.9498296976089478,0.0652229033910062,False,-0.9611385464668274,0.0668431562032363,False,-0.9637231826782227,0.0938208838269708
O=C(O)[C@H](CS)NCCN[C@@H](CS)C(=O)O,False,-0.5734190940856934,0.2282168405285003,False,-0.11304274946451187,0.3496533056560616,False,-0.9381219744682312,0.1705535330929449,False,-1.6362171173095703,0.1975800852393646,False,0.06457867473363876,0.3221995266449673,False,-0.9835349321365356,0.2593427828500507,False,-1.2750886678695679,0.1856650564444887,False,-1.7194808721542358,0.252882889892177,True,-1.6728615633775823,0.0773,True,-1.902897209820711,0.0773,False,-1.6768337488174438,0.1859552388773316,True,-1.803083830647284,0.0773,False,0.09864369034767151,0.3867352593186444,False,-0.8948522210121155,0.1731710905123087,False,-0.04075004532933235,0.2260110057989192,False,-1.4766308069229126,0.1175286052793638,False,-1.5263954401016235,0.0867758470077774,False,-1.5525486469268799,0.079207931625476,False,-1.5277860164642334,0.1242340543788246,False,-1.5638656616210938,0.1046590080445719,False,-1.5679090023040771,0.0652229033910062,False,-1.5711286067962646,0.0668431562032363,False,-1.5726232528686523,0.0938208838269708
CC(=O)[C@H]1CC[C@@]2(O)[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C,False,-0.6134629249572754,0.2282168405285003,False,-0.36521998047828674,0.3496533056560616,False,-1.3227499723434448,0.1705535330929449,True,-1.925140598981431,0.0773,False,-0.30573850870132446,0.3221995266449673,True,-1.5784822242283891,0.0773,False,-1.4123101234436035,0.1856650564444887,True,-2.0494710302335735,0.0773,True,-1.7779932507957248,0.0773,True,-1.777698585756076,0.0773,True,-1.8745531693093245,0.0773,True,-1.761867810352733,0.0773,False,-0.29087263345718384,0.3867352593186444,False,-1.118342638015747,0.1731710905123087,False,-0.3553299903869629,0.2260110057989192,False,-1.7612265348434448,0.1175286052793638,False,-1.7820857763290405,0.0867758470077774,False,-1.7795696258544922,0.079207931625476,False,-1.816003441810608,0.1242340543788246,True,-1.8087045943476707,0.0773,False,-1.8373268842697144,0.0652229033910062,False,-1.8333475589752197,0.0668431562032363,False,-1.8265317678451538,0.0938208838269708
CC(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,False,-0.620766818523407,0.2282168405285003,False,-0.08551499247550964,0.3496533056560616,False,-1.2714476585388184,0.1705535330929449,False,-1.7577674388885498,0.1975800852393646,False,0.09415996074676514,0.3221995266449673,True,-1.5963619476718864,0.0773,False,-1.5916954278945923,0.1856650564444887,False,-1.9862549304962158,0.252882889892177,False,-1.7201597690582275,0.1215738069158855,False,-1.7609213590621948,0.1743986023098311,True,-1.852368140093828,0.0773,True,-1.7566990791566817,0.0773,False,0.12589074671268463,0.3867352593186444,False,-1.3243728876113892,0.1731710905123087,False,-0.049775756895542145,0.2260110057989192,False,-1.7133371829986572,0.1175286052793638,False,-1.7584666013717651,0.0867758470077774,False,-1.7714366912841797,0.079207931625476,False,-1.7756643295288086,0.1242340543788246,True,-1.8777979689315245,0.0773,False,-1.7969547510147095,0.0652229033910062,False,-1.797202229499817,0.0668431562032363,False,-1.798289179801941,0.0938208838269708
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,False,-0.4390493631362915,0.2282168405285003,False,0.1681012511253357,0.3496533056560616,True,-1.4205708289870655,0.0773,True,-1.7597449678713877,0.0773,True,0.9534697263077552,0.0773,True,-1.524077356498826,0.0773,True,-1.6956366377938037,0.0773,True,-1.9990248803451238,0.02252311499805068,True,-1.7657901636929012,0.0773,True,-1.780638661517437,0.0773,True,-1.8312078889404697,0.0773,True,-1.753637449345138,0.0773,False,0.5952216386795044,0.3867352593186444,True,-1.393011252918579,0.0773,False,0.3776055574417114,0.2260110057989192,True,-1.6380501282043713,0.02133499010197751,True,-1.6862873757025183,0.0026113225701231944,True,-1.698305048545647,0.007165836739189106,True,-1.7233593550768473,0.00735136352003769,True,-1.7374571639412784,0.006682912366348962,True,-1.755111129859178,0.007163389062371774,True,-1.764349709875072,0.008922605573753385,True,-1.7839631700167473,0.008248322149666159
O=C(O)CN(CCN(CC(=O)O)Cc1ccccc1O)Cc1ccccc1O,False,-0.6027222871780396,0.2282168405285003,False,-0.14233288168907166,0.3496533056560616,True,-1.393575197796957,0.0773,False,-1.787814974784851,0.1975800852393646,False,0.06932758539915085,0.3221995266449673,True,-1.320476804666168,0.0773,True,-1.5955608332157991,0.0773,True,-2.1705339119558635,0.0773,True,-1.7576144912110845,0.0773,True,-1.7768137102368209,0.0773,True,-1.8562529018828555,0.0773,True,-1.7427953994219985,0.0773,False,0.08448141068220139,0.3867352593186444,False,-1.1918748617172241,0.1731710905123087,False,-0.10953515768051147,0.2260110057989192,True,-1.6300956670180051,0.0773,True,-1.678735485603025,0.0773,True,-1.693874289233502,0.0773,True,-1.7224151377945536,0.0773,True,-1.7304523856097054,0.01479873947365413,True,-1.7335105027872482,0.0773,True,-1.742061495351923,0.0773,True,-1.749333612901785,0.0773
Cc1ncc(COP(=O)(O)O)c(CN(CCN(CC(=O)O)Cc2c(COP(=O)(O)O)cnc(C)c2O)CC(=O)O)c1O,False,-0.5187051892280579,0.2282168405285003,False,-0.10672200471162796,0.3496533056560616,False,-1.1928989887237549,0.1705535330929449,False,-1.7943984270095825,0.1975800852393646,False,0.05830885097384453,0.3221995266449673,False,-1.2795295715332031,0.2593427828500507,True,-1.6082504546480774,0.0773,True,-2.0803239706313006,0.0773,False,-1.7000086307525635,0.1215738069158855,False,-1.7318962812423706,0.1743986023098311,True,-1.833894623930929,0.0773,True,-1.7412302094758851,0.0773,False,0.017707403749227524,0.3867352593186444,False,-1.1482161283493042,0.1731710905123087,False,-0.20445580780506134,0.2260110057989192,False,-1.6789085865020752,0.1175286052793638,False,-1.7146918773651123,0.0867758470077774,False,-1.7285418510437012,0.079207931625476,False,-1.7482779026031494,0.1242340543788246,False,-1.7599579095840454,0.1046590080445719,False,-1.761870265007019,0.0652229033910062,False,-1.7696431875228882,0.0668431562032363,False,-1.7775940895080566,0.0938208838269708
CCC(N)C(=O)O,False,0.6272997260093689,0.2282168405285003,False,0.9568924903869629,0.3496533056560616,False,-0.28524845838546753,0.1705535330929449,False,-1.0684770345687866,0.1975800852393646,False,1.1082419157028198,0.3221995266449673,False,-0.1250457465648651,0.2593427828500507,False,-0.5590493083000183,0.1856650564444887,False,-1.3150161504745483,0.252882889892177,True,-0.8543951456456028,0.0773,True,-0.9879896288476386,0.0773,True,-1.2580666629952333,0.025547975770456675,True,-0.8962943478349891,0.0773,False,1.1569474935531616,0.3867352593186444,False,0.05876157432794571,0.1731710905123087,False,0.9605152010917664,0.2260110057989192,False,-0.9106287360191345,0.1175286052793638,False,-0.9443897008895874,0.0867758470077774,False,-0.9545779824256897,0.079207931625476,False,-0.9695393443107605,0.1242340543788246,False,-0.9795984625816345,0.1046590080445719,False,-0.9747611880302429,0.0652229033910062,False,-0.9894745349884033,0.0668431562032363,False,-0.9899354577064514,0.0938208838269708
O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,True,-0.8641186191384896,0.0773,False,-0.3602195680141449,0.3496533056560616,True,-1.436418645698263,0.014830117288731699,True,-1.678463723799827,0.0773,True,-0.2784414535524571,0.0773,True,-1.6643147219202605,0.01009463455971621,True,-1.7687897855443715,0.0773,True,-2.0029825580036804,0.0773,True,-1.7627058726159015,0.012824687178853388,True,-1.789372343770432,0.0773,True,-1.849764074142744,0.0773,True,-1.7349277665257332,0.0773,False,-0.13920624554157257,0.3867352593186444,True,-1.5882460420447022,0.011477623808903898,False,-0.24724440276622772,0.2260110057989192,True,-1.8312078889404697,0.0773,True,-1.870282975349456,0.0773,True,-1.8753035481936868,0.0773,True,-1.8852188265049552,0.0773,True,-1.8639355450646466,0.04810691125092953,True,-1.8852188265049552,0.0773,True,-1.887671931666376,0.0773,True,-1.8852188265049552,0.0773
